respond	context_0
Almost. I have one more really annoying thing I gotta do.	You're finally off?
The worst part was knowing, right then, that I could never forgive her.	If you're talking about getting the Bursky autopsy, I already called the family for you. And they said fine, and to thank you, and I'm sorry. ...They didn't say that last part, I did.
I forgive her.	The worst part was knowing, right then, that I could never forgive her.
You see, I can't survive on my own.	I forgive her.
Even now, when I finally get to go home, in the back of my head, I'll know the hospital's still here, wide awake.	I'm a dork. I'm a dork! I'm a dork. ...I'm a dork.
But what the hell. The most important thing is that I got through my first three days without looking like a complete idiot.	Bambi! Get out while you still can.
I'm the man.	But what the hell. The most important thing is that I got through my first three days without looking like a complete idiot.
How's it going?	Hospital, interior - Admissions Area.
Now, there is nothing wrong with being a janitor.	I'm 37 years old, and I'm a janitor; how do you think it's going?
Aww... be nice to Rowdy. The guy we bought him from used to keep him in a box full of old hats.	Your dog is creepy.
Just give her a chance, man.	Okay, dude, why is she here all the time?
Nooo....	Ohh... you want to hit that!
No. She's just a friend, man.	Yeah!
I think it's healthy hanging out with a girl without the ultimate goal being sex. You know?	Yeah.
What'd you tell on her, or something?	Creepy.... I had a run-in with that Nurse Carla yesterday. She forgot to check out the stats on a patient, and then she gave me attitude about it.
It would be a good point, except that Elliot puts her foot in her mouth. A lot. She can't really seem to stop.	She is.I don't remember... And why would you automatically assume it was my fault?
He's black, too. You should tease him about that.	No.But my mother is.
You might have to write that down for me.	Hey, Bambi; that blond stick you hang out with? Tell her...Que se cuide la nalguita esa, porque si no le voy a tumbar todo el tinte rubio de la cabeza.
And Dr. Cox, we've really connected.I'm kinda like his protege.	You might have to write that down for me.
Done. Copied. And Highlighted.	I need to see his chart
I dunno.	Unfortunately, Radar, I'm fresh out of gold stars. Multilobar pneumonia at 31...? How much does this guy smoke?
Oh, I don't smoke, so... zero packs.	Well, let's hear it...
Oh. I know, I was just totally kidding with you.	What tests have you ordered?
I like Will. That actually makes this harder.	He was... We're all in on it.
I ordered blood cultures, and a high-resolution CT.	I like Will. That actually makes this harder.
When you say the word "cancer", every person reacts the same way.	Cancer.
Not like that.There it is.	Excellent.
I hate showing Todd love.	It rocks... But my bedroom, that's where I really operate! Am I right? Come on, show Todd some love!
"Baby, this, here, is the V.I.P table..."	Please baby, this, here, is the V.I.P table.Why don't you sit your fine self down?
Maybe he's a little interested.	Yeah? Then maybe the Todd'll show that little biscuit some love!
Wait, Turk.	Wow. Thank you so much for your help. You know what? Why don't you be just a little bit more paranoid.
Right, it's just, you know, he's headed down such a bad road, I thought you and I could talk to him....	I'd open with that.
When you really lock in with a mentor, you start to understand the meaning behind their words.	Right, it's just, you know, he's headed down such a bad road, I thought you and I could talk to him....
Means, "Great idea!"	You do whatever you want.
Means, "You're really coming along as a doctor."	I'm, um, I'm just happy you haven't messed up yet today.
Means, Don't ever touch him.	Don't. Ever. Touch me.
Just thought it was a nice moment.	Means, Don't ever touch him.
Ahhh, the comfortable silences.	No, you shouldn't have.
Okay, good!	But thank you for apologizing.
No, see, nothing needs to be clear.	I I just want to make one thing clear.
Uh, Will, it's important you realize this isn't great news.	Woo! Who rules? Will rules!
Yeah, well, Will, you're on a slippery slope, man.	Are you sure? 'Cause, that's how it first hit me.
I had to scare him, but I had the sense he'd heard it all before. Luckily, part of being a doctor is your ability to improvise.	Yeah, well, Will, you're on a slippery slope, man.
So, right now, the one thing that I want you to think about......How would you like to sound like this?	I had to scare him, but I had the sense he'd heard it all before. Luckily, part of being a doctor is your ability to improvise.
No, it's not.	Let me see.This is so cool!
It's not a toy.Would you like to play a game?	Bwiddy-bwiddy-bwiddy. Okay, doc.
Sometimes, if all you have is old words, all you can do is put them together and hope they say something new.	It's not a toy.Would you like to play a game?
Look, man, you're a great patient. I like you enough to hope I never see you again. But, I promise you, if you keep smoking, you'll be back here. I bet my own life on that.	Sometimes, if all you have is old words, all you can do is put them together and hope they say something new.
Will, the pneumonia patient, I got him to quit smoking.	I heard "I know I'm being annoying," and then...white noise.
Yuh-huh!	Forever?
Done forever. He swore to me. I just, I reached him! I reached him.	No "last one"? 'Cause the last ones are better than sex, trust me, I've had about a thousand of them.
Right, so with Will....	Not now. I have a ten-minute break, and my soap is on.Hey, uh, skeetch, if you do go ahead and change the channels, I swear I'll suture your hands together.
Time for a bold move.	Oh, this woman is just fantastic. I mean, the breasts are probably fake, but, by God, those tears are real!
I need to know how we're going to fix this thing with Will.	Time for a bold move.
Excuse me?	Do you know what you've just done? You just lost all lap-dog privileges.
I'm not your lap-dog.	No more walkies, no more treats, no more following me around the hospital.
But I was thinking that	That's right. You now have five seconds to get out of this room, otherwise I'm gonna start whacking you on the nose with this.Don't laugh. This isn't a joke, newbie. Get. Out.
Rowdy, no!So, I still can't figure out why Dr. Cox tore me a new one today.	I like her freckles!Geez!!!
Well, who really knows him? I mean, who does he hang out with here?	He's just Dr. Cox.He's always like that.
That must be lonely.	No one.
I'd go with the "god-complex".But it's hard to choose, you know, they're all so good.	Well, you're a surgeon. So, you've got the god-complex, the cockiness, the whole "married to the job" thing. You're cute, but you're very, very aware of it. You have no idea what I'm like, so all of your feelings for me are coming from down there. But most of all, I'm looking for the real thing; and you're nothing but a little boy who's not used to being told "No." So there's a bunch of reasons. Pick your favorite.
I know that watching Will slowly kill himself hurts you, too. That's even harder if you don't have anyone to talk about it with. So, when I got off work, I figured you know I was gonna pick up a few cold ones, right, and then maybe you and I, we'll we'll talk it out, we'll just break the whole thing down. Right? What do you say to that?	J.D., in casual clothes, with a 6-pack in hand, approaching the door of an apartment. He rings the bell. The door opens to reveal Dr. Cox. The sounds of a televised sporting event can be heard from inside the apartment.
Oh, you can't leave a place with this much warmth. I especially love the shelf filled with personal photos of your friends and family.	I don't care.Now, can I count on you to never drop by here ever again, or should I just go ahead and move?
Okay, if he comes at you, just try and roll out the door.	A very sterile-looking glass shelf with several "blank" pieces of modern art.
It's not.	Well, actually, you have a point. I guess watching the game by yourself with a scotch isn't, really, the only way to watch a game, huh. I don't know. I just, I've always thought of needing people as a sign of weakness.
Of course I will.	Then, would you stay... and watch the game with me? Maybe have a slice of pizza?
Well, thanks for the pick-me-up!	You were gonna, what, rescue me from loneliness with a three-dollar six-pack of light beer? It turns out, you can't save people from themselves, newbie. We just treat 'em. You treat that kid with a respiratory problem, and when he comes back with cancer, go ahead and treat that, too.
I think the one thing we never stop looking for is acceptance.	Wow. Great! Hey, you know what else would be really helpful...
Acceptance of our own shortcomings...	You're welcome.
...Acceptance that some things are gonna be what they're gonna be.	What baby?
Yeah... he's new here.	This is a strange resort, man. I mean, this wheelchair service is great, but that suite I rented... there's another person in it. And for some reason, the bellhop gave me an enema.
You know it all, man.	So... anything you wanna say?
Still, I hated Will a little.......'Cause, thanks to him, I started to look at all the people who were important to me in terms of what will probably kill them.Heart Disease...Liver disease...Somebody choking her...I dunno... Probably stress.	You know it all, man.
Nope.	Say anything else to him?
Yeah, but you told me not	But you wanted to.
It's the closest thing I've had to a date, recently.	Our shifts keep overlapping on Friday nights.
Oh, yeah, me too. So... can I page you?	Well, I had a great time tonight.
Oh, baby, I don't play by the rules.	You better. And don't do the whole two-day waiting thing.
Wait a second, is she joking? 'Cause if she's joking and I kiss her...Of course, if she's not joking...	Well, uh, goodnight....
Yes!	Come on, I don't do this for all the doctors.
In my experience, when two friends miss an opportunity like this, you've got exactly forty-eight hours to get the kiss....Otherwise, one of you is gonna over-think it okay, she's gonna over-think it and then you end up permanently stuck in "The Friend Zone."	Oh, and his TV is broken, so, when you two do start tagging each other , least you can do is wake him up and let him watch.
I'm just a little lonely, you know; I guess 'cause I haven't really been hanging out with Turk since he's been dating Carla.	That song... is like a virus!
Ahhh. So, surgery went okay?	Means he's gonna go eat.
We should go out and celebrate, you know, tear it up like we used to do; just the two of us.	Yeah, it was cool; it was cool.Dude, I got to close for the first time, ever. Ever! The human body is so disgusting!Oh, not yours. Yours is stunning!
That's what... we used to tear it up...We should probably never do that again.	And that would come before Part B...
A combination of steroids and any of several anti-histamines.	Well done... sport. And what treatment would you recommend, uh, Dr... uh, Dorian.
I could kinda see what was going on in Elliot's head.	'Sweetheart'?
"Fletch".	What do you wanna watch?
Maybe next time, her mom could come.	I'm so lucky I found you.
Whatever, I don't care.	Dude, you won't even know she's here. Well, except, she laughs at stupid stuff sometimes, and that kinda makes me laugh It's stup because it's so stupiOh, come on, tonight's still about us.
Well, I know relationships change, I just thought yours and mine never would.	Look, man, I'm surgery, and you're Medicine. This isn't college anymore; things have to change.
Well, we always look out for each other.... I guess I just don't feel like you have my back anymore.	What's goin' on with you, man?
Yeah, I do.Sure	You really feel that way?
If he's septic, there's a chance they'll have to reopen this guy. 'Course, there's also a chance he could die.	Well, we won't know anything until the lab gets his blood-work back.
Noo. No. I know the guy that closed, he'd never be that careless.	I've seen this before. Gauze, sponges some young surgeon left something in this man.
I've never seen that before.	'Kay, uh... Excuse me, sorry; has anyone seen my keys? No? Okay, how about my wallet? Anyone?
Don't move.No, no, no, no. Don't...move.Have you seen Turk?	Hey...I was just dreaming about you....You were.... We were.... Hey; you got a few minutes?
Turk?	Yeah. I saw him. He just went out that door.
No, no, I gotta talk to you.	Hey! Come here!
Look. it's very important that I talk to you, man.	Oh, no, no, no, no, no. Look, it's 9-up. okay? We just lost our fourth, it's your ball.
And there it was, everything was more important than me now.	Let's play, let's play.
Suddenly, I was so fed up, I decided to teach Turk and Todd a lesson right there on the court.......You know, once I warmed up a little.	Don't bring in the same weak-ass crap the last kid did!
Okay, I was looking at Bidwell...	J.D., I'ma show you what the deal's oh, oh, oh, ohh...All right, that's game. What's so important?
Go get your grub on.	I thought you sucked.
Have you seen Mr. Bidwell's blood work?	"....Oh, baby refrain from breaking my heart. I'm so in love with "
Okay.... Have you seen Turk?	Um... no, it hasn't come back yet.
Well, I'm sure you'll end up seeing him before I do, so....	Not since this morning.
What if I am?	Bambi? Are you giving me attitude?
Okay, I'm gonna leave now.	Sweetie, you have to be a minority sidekick in a bad movie to pull that off. You know what I'm talking about, right?Explain it to this man, please.First, you do the head, then you do the finger, then you talk through the nose......And then you give a lot of attitude. That's how it works. But if you're not from there, you don't understand, so I'm not gonna even 'axe' you
Noooo!	Oh, God, you killed somebody!
No, no; no one killed anyone.	Someone else did!
No, no, I'm not even sure there is a problem. I'm running tests, I'm doing everything that I should be doing.	...Maimed, mutilated, disfigured.... Let's not split hairs.
Why am I protecting Turk when he can't even give me five seconds of his time?	Look, if you know about something, by not reporting it you're every bit as culpable. Now, is there anything that you'd like to tell me?
Tell him.	Anything at all?
...No.	Tell him.
Fantastic.	Mm-hmm.
Negative? How could they be negative? The guy looks like death.	Oh, and the blood-work came back.
What happened?	Hi!
Oh, that's funny, because the only person who coulda given him insulin...	There's no infection. He's diabetic; so when someone gave him insulin during post-op, when he wasn't eating, he became hypoglycemic.
Uh-oh.	Oh, that's funny, because the only person who coulda given him insulin...
Me!I gave him insulin!	Uh-oh.
Twice!	Me!I gave him insulin!
Thank you so much. You totally saved my ass.	Well, he's fine, Bambi. I gave him an amp? of D-50 and he's eating, now. But you should probably give him a glass of orange juice in about an hour.
Look, Turk....	Well, it wasn't me....
I know.	Come on, man; you know I always got your back.
Just tell him how you feel without sounding like a girl, for once.	I know.
I miss you so much it hurts, sometimes.	Just tell him how you feel without sounding like a girl, for once.
Thank you.	Okay, um, you've had a rough day, so I'm gonna let that go for now.
Oh, crap!	Look, we're gonna find time to hang, man. It's just that we're both really swamped right now, and I'm hanging out with Carla a lot, I know... But tell me, if there was someone you were into, you wouldn't be doing the same thing.
You're right. Kiss me.	You don't even want to hear about the day I've had.
Well, we can wait like, three, four seconds.	What? Right now?
Not gross, pretty. Come here.	No, I just ate, I feel gross.
It never fails.	J.D., can we just... talk for a second?
Thank you.	Pretzel?
I use it all the time.Come on.	The first few weeks here have been so hard for me, mentally, physically, emotionally. It's like math camp all over again. Not that I've ever been to math camp it's just an expression.
I know the idea of choosing friendship over sex is the last thing any guy wants to hear. But you know what? This time, it actually made sense to me.	I use it all the time.Come on.
...Besides, I challenge anyone to survive as an intern without a close group of friends to lean on.	Turk and J.D.'s Apartment.
I cant believe you lost our bottle opener.	...Besides, I challenge anyone to survive as an intern without a close group of friends to lean on.
You're a bad person.	Yeah, I know.... I miss it so much, it hurts sometimes.
We've got to do something about this.	Of course you meant something by it.
Come on, Carla's your girlfriend, Elliot's my friend....	No.... We really don't.
Well, yes, frankly, I think that you're being condescending and you're being overly sensitive.'Scuse me for a second... just one second.	Mm-mm.
Nope. Not this time.	Mm-mm.
Well, yes, frankly, I think that y-you're being condescending and you're being overly sensitive.Dammit!	Nope. Not this time.
Hello? I'm the doctor!I'm...I'm...I'm the doctor.	Hi, I'm gonna be your doctor.
It's kinda too soon to tell.	Now that's enough! Now, sure, he's young, but he's probably a very good doctor. Are you a good doctor?
That'd be nice.	Honesty.... Well, I like that. You probably want these people to wait outside.
Uhh... would you guys mind....	Make 'em know you're a man, not a boy.
Everybody outta here, now!"Now!"	Do it.
Right... that's what I'm talkin' about.	Well, that was manly!
Yes, please!	Want a hard candy?
No, we had, like, this connection, you know?	"Neat"? Dude, the 1930s called and they want their lingo back.
Surgeons generally don't like to get too close to patients. Maybe it makes it harder to cut someone open... maybe it's just too risky... I dunno.	No, I don't know. Please, let me get my sweat on.
I feel like you're missing out. Like, this Mrs. Tanner, she's got this...incredible energy and...and warmth.	Surgeons generally don't like to get too close to patients. Maybe it makes it harder to cut someone open... maybe it's just too risky... I dunno.
You're using that "somebody called" joke a lot.	Dude, the League of Women Voters called and they want to know where to send your membership info.
What's his name?	I know, I can't help it. I got a hernia patient to take care of.
He must feel so safe and taken care of.	Well, his name is Hernia Patient, but we've gotten close so I like to call him "Hernia".
That's what I said!	Oh, of course! One of our frequent fliers she's a neat lady.
Why?	Nobody likes a brown-nose, son. Let me see the chart.
Yeah... I ordered them.	We'll put her on diuretics.
What's that?	These labs don't look good; I think it's time she got started on dialysis.Oh, but you know what you should do first, kiddo?
Look, I don't know how it's been with your other doctors, but when you're under my care, you stay in the hospital until I say it's okay for you to leave.	Oh, here's the party.
I don't care about food right now!	We saved you a plate.
Oh, my God, are those s'mores?	I don't care about food right now!
Couldn't you have got her a big cake?	Look, it's Samantha's fifth birthday. Now you're not gonna make me miss this, are you?
How about the ability to make quick decisions?	Nope.
How 'bout this?	Umm... Nope.
Okay, enough of this. I don't think any of you realize how serious this is. Right now we need to be worried about your mother, your grandmother... your....I'm sorry, we we haven't met, I'm Dr. Dorian.	No!
Thank you. Come on, let's go.	You're very cute.
Okay, here we go.Blow!	Candles are still lit.
So, that's basically it. Your kidneys aren't responding to the medication anymore. I'm afraid we're gonna have to start you on dialysis.	Mrs. Tanner's Room.
Yeah, unfortunately we don't really have a choice.	Oh, I'm not a big fan of dialysis.
Certain things you never expect to come out of a person's mouth.	Well, actually, I do have a choice.
No I'm not.	I think you're being a little irrational.
No they don't.	Everybody dies sometime.
But what about our duty as doctors to do everything in our power to help pe	Well, if she doesn't want dialysis, then there is no ethical dilemma.
Where, I don't see?	I win.
Pretty sneaky, Death!	Here , diagonally.
She's telling her family. There's nothing that could make me go in there right now.	Mrs. Tanner's Room
You didn't tell them, did you.	She's telling her family. There's nothing that could make me go in there right now.
Speaking of which, I took the liberty of jotting down a few things I think everybody should do at least once in their life.	It didn't come up. Look, they don't need that burden; besides, they'd just give me a bunch of reasons to change my mind.
Okay. "Number One: Eat a sausage-and-pepper hoagie from Enrico's."	Oh, no.
"Number Two: Go to Asia."	Well, of course I've done that.
I'm gonna take that as a yes, and I'll also check off "Learn a foreign language".	Gonenn kan kurai Kyoto ni sunnde imashita.
Fine. "Go to the top of the Meiffel Tower."	Done.
No, I'm not; it's right here, you can look at it!	Oh, now you're making stuff up.
You have had an amazing life.	Listen, Dr. Dorian, there's not one thing I regret as I lay here right now. I'm ready. I really am.
Me? No, no, I've I've been off for two hours.	Good, then we agree. Now, aren't there other patients you need to be seeing?
I will.	So, with your precious free time, you've been sitting in a hospital room talking to an old lady. What about your list? How many of those things have you done? For that matter, how many times have you sat in the grass and done nothing, hm?You need to start taking some time for yourself, young man. Promise me you'll do that.
Yeah, well, let me I just want to check out a few things before I...get going.Uh-huh.... Uhh-huh....	Good. Now, get outta here. Go on.
I'm scared.	Are you okay?
And on days like that, I guess the best you can hope for is that you took something from it.	A Semi-Private Patient's room another day.
...Anything....	Hey, I'm Turk.
...Anything at all....	The Hallway
....Even if it's just taking the time to lie in the grass and think about all the things you still have left to do.	The Park
Okay, uh, Louie, we're gonna go with "boobs".	Okay, Guys, we need an answer.Name one thing guys wanna see more than anything in the whole, wide world.
You're cute.	I wanna see 'em on a real girl. A cute girl.
Oh, no, I have a	What's your point? Ammonia too strong?
Dr. Steadman. Resident, and first-class teacher's pet.	This better be good paging the Chief of Medicine.
I, uh.... Sir, I was going over Mr. Martinez's chart, and it seems like the TIPS procedure he's scheduled for is completely unnecessary.	Dr. Steadman. Resident, and first-class teacher's pet.
Well, he's dead.	Why would you think that's unnecessary?
Dorian. You see me every day. Say my name; say it!	Well, excellent catch Dr..... uh... Dr.... uhm....
That was the name of the patient, sir.	....Martinez.
No, actually, that's the that's the manufacturer of the clipboard...sir.	...Avery.
I hear that!	Fine work doctor! Fine work.
I think you should go ahead and do it.	Oh, I'm sure he's just shy.
Why not? It's easy, you just go like this.	I am not flashing my breasts!
Oh, , I went by Pediatrics..... They thought it was funny.	Ooh, that's hot.
Ahhhhhh! My man, Turk, is getting it daily, nightly, and ever so rightly!Ah! What up, dude!	How was that?
Once every 4.2 seconds a man says something stupid that a woman hears and punishes him for....Luckily, this wasn't one of those times.	Ahhhhhh! My man, Turk, is getting it daily, nightly, and ever so rightly!Ah! What up, dude!
"What up...dude?"	What did you just say?
No, just 'cause you guys have been dating...for a while. Do Latina women put out more? Because that's not something I've I've ever heard.Turk told me.	Why would you think that Turk and I slept together? Because I'm a nurse? Because I'm Latina?
So, anyway, I think you should let the kid meet the ladies.	...Show me that you know me.
Well, I'm new here, but I'm relatively certain that invasive vascular procedures have a very low success rate on dead people.	What in the name of 'Are ya there, God, it's me Margaret' were you thinking.
You don't have to be, like, mean about it.	That TIPS procedure was for Mrs. Blitt down in 103. You see, she doesn't have insurance; Mr. Martinez, on the other hand, had great insurance. Should I talk slower or go get a nurse who speaks fluent moron?
Don't say it!	Well, geez, newbie, just what in the hell do you want from me, huh?I don't know if they taught you this in the land of fairies and puppy-dog tails, where you obviously, if not grew up then at least spent most of your summers, but you're in the real world now. Nnnnn-kay?
I still think I was right.	Don't say it!
