respond	context_0	context_1	context_2
Why are you telling her?	Time's up. Carla, would you do it for him, please? I also need an A.B.G.	Come on, you've done this to cadavers before. So this guy's alive, just poke it through his skin! Poke it through! Now!	I smell nice.
Well, how could you not be....	I was just frazzled.	I'm sure you did.	I knew the answer!
Oh, I know. Yeah.	You know with the...	Well, how could you not be....	I was just frazzled.
You could let me take you to dinner tomorrow night.Around seven.... Or eight.	Good. But thanks. If there's anything I can ever do for you, just	Oh, I know. Yeah.	You know with the...
But I	It's regular-strength Tylenol! Here's what'cha do: Get her to open her mouth, take a handful, and throw it at her. Whatever sticks, that's the correct dosage.	I was worried that it could exacerbate the patient's	What the hell are you doing?Did you actually just page me to find out how much Tylenol to give to Mrs. Lendsner?
Dr. Kelso, he's always telling me, you know, "You've gotta stay positive!"	And under no circumstances are you to compromise our "no talking" agreement.	But I	It's regular-strength Tylenol! Here's what'cha do: Get her to open her mouth, take a handful, and throw it at her. Whatever sticks, that's the correct dosage.
It's just that, this isn't really what I expected... You know...Most of my patients are, uh...older and sorta checked-out, mentally.	I'm gonna go ahead and say this just as carefully as possible so I don't overstate it: Dr. Kelso is the most evil human being on the planet. And may, in fact, be Satan, himself.	Dr. Kelso, he's always telling me, you know, "You've gotta stay positive!"	And under no circumstances are you to compromise our "no talking" agreement.
It's just that, do you really think we should be talking about this in front of....	Pumpkin, that's modern medicine. Advances that keep people alive who should have died a long time ago, back when they lost what made them people.Now, your job is to stay sane enough so that when someone does come in that you actually can help, you're not so brain-dead that you can't function. For the love of God, what!?	It's just that, this isn't really what I expected... You know...Most of my patients are, uh...older and sorta checked-out, mentally.	I'm gonna go ahead and say this just as carefully as possible so I don't overstate it: Dr. Kelso is the most evil human being on the planet. And may, in fact, be Satan, himself.
You've been like a father to me.	Her? She's dead.Write this down, newbie: If you push around a stiff, nobody'll ask you to do anything.	It's just that, do you really think we should be talking about this in front of....	Pumpkin, that's modern medicine. Advances that keep people alive who should have died a long time ago, back when they lost what made them people.Now, your job is to stay sane enough so that when someone does come in that you actually can help, you're not so brain-dead that you can't function. For the love of God, what!?
And there it is.	Fair enough, you want some real advice? If they find out the nurses are doing your procedures for you, your ass'll be kicked outta here so quick, it'll make your head spin.	You've been like a father to me.	Her? She's dead.Write this down, newbie: If you push around a stiff, nobody'll ask you to do anything.
....We're the chess club.	Hey, you got a stain.	And like that, I was back in high school. You see, surgical interns, they're all slice-'em-and-dice-'em. They're the jocks. Medical interns, we're trained to think about the body; diagnose, test. Medical interns, well....	Oww!
No. I was I was just making small talk.	Did you stick a penny in there?	I dunno.	Why a penny?
Why couldn't I do that? I hated him at that moment.	Come on, man, learn by doing! Learn by doing.	I think this needle's too big. I'm gonna get a nurse.	Fantastic.Just suck out the fluid with the giant needle.
Oh, you think?	Okay, uh, maybe the needle was just a little too big.	Why couldn't I do that? I hated him at that moment.	Come on, man, learn by doing! Learn by doing.
Tell him you think that's stupid. Tell him you need him.	That's why I came by. I think it's better if we both branched out a little. What do you think?	So, are you gonna are you gonna move your stuff in or what?	Nothing, ma'am, this is totally normal.
Well, I'll tell you one thing, the last thing in the world I wanna do is sleep wit'cha now!	Oh please, if you didn't want to sleep with me, you'd have done the same thing.	I thought we cared about each other....	Plus, it turns out, the guy was just sleeping; attached to a faulty monitor.
Okay.	Do me right here.	Well, I'll tell you one thing, the last thing in the world I wanna do is sleep wit'cha now!	Oh please, if you didn't want to sleep with me, you'd have done the same thing.
ARGH!	See!	Okay.	Do me right here.
Our date is is totally canceled!	Right. Pass me a trach. kit.Thanks.	ARGH!	See!
Yeah.	You're worried about being on-call tonight, aren't you.	Seems like a good kid.	Atta boy! Go get 'em, champ!Why are you here?
Call you?	Look, worst case scenario, you kill somebody, and that hangs over your head the rest of your life....But that is the absolute worst case scenario. Come on, newbie, look: Just have the nurses do all the stuff you're still too chicken to do, which I assume covers just about everything, and if you have a really rough admission	Yeah.	You're worried about being on-call tonight, aren't you.
Are you flirting with me?You are, aren't you!	I need to see you in Mr. Bursky's room.	I'll check on you every ten minutes, Mrs. Moreno, okay?	Bambi, come on. Let's go.
Why didn't anybody page me?	He crashed. The attending thinks it was a pulmonary embolism.No way anyone could have caught it. Anyhow, you have to pronounce him.	Are you flirting with me?You are, aren't you!	I need to see you in Mr. Bursky's room.
I'll never forget that moment, the way he looked exactly the same...only completely different. The shame that all I could think about was how hard this was for me.	Could you just pronounce him so I can go home?	Why didn't anybody page me?	He crashed. The attending thinks it was a pulmonary embolism.No way anyone could have caught it. Anyhow, you have to pronounce him.
I just wanted to help people.	Time of death 0200.	I'll never forget that moment, the way he looked exactly the same...only completely different. The shame that all I could think about was how hard this was for me.	Could you just pronounce him so I can go home?
He needs me?	Well, I need you to tell me that every once in a while, man.	Well, I think it's okay to be scared.	It's a good thing they make surgical masks, 'cause if they didn't, everyone would know that my face is like this the whole time...
Ask him to move in again.	Anyway, I just came to check up on you; see how you're doing.	He needs me?	Well, I need you to tell me that every once in a while, man.
Yeah, but she's, like, a second away from total renal failure.	I saw that you're still pushing to put Mrs. Pratt on the transplant list. Bad news, though, sport: she doesn't have the insurance to cover it.	Ah, there he is, my safety net.	How're you holding up?
They're still in there with him, sir.	Okay..... Uh, did you ask the Bursky family for permission to do an autopsy?	Yeah, but she's, like, a second away from total renal failure.	I saw that you're still pushing to put Mrs. Pratt on the transplant list. Bad news, though, sport: she doesn't have the insurance to cover it.
Just tell him you can't see Mr. Bursky again. He'll understand.	It's a teaching hospital, son, you gotta ask.	They're still in there with him, sir.	Okay..... Uh, did you ask the Bursky family for permission to do an autopsy?
See? Every story needs a good guy.	Why, sure, sport.	Sir, do you do you think I could skip just this one?	Just tell him you can't see Mr. Bursky again. He'll understand.
I am pretty tired!	In fact, why don't you just head on home. You look kinda tired.	See? Every story needs a good guy.	Why, sure, sport.
Crystal clear.	Dr. Dorian, do you not realize that you're nothing but a large pair of scrubs to me? For God's sake, the only reason I carry this chart around is so I can pretend to remember your damn names! Now look, if the patient has insurance, you treat them; if they don't, you show them the door.And if somebody dies, you get the autopsy. You get it by rounds tomorrow morning, or I'll be scratching your name off my chart! Are we clear!?Answer me!!!	I am pretty tired!	In fact, why don't you just head on home. You look kinda tired.
I don't get it, if he's the jerk, then who's the good guy?	Great, sport.	Crystal clear.	Dr. Dorian, do you not realize that you're nothing but a large pair of scrubs to me? For God's sake, the only reason I carry this chart around is so I can pretend to remember your damn names! Now look, if the patient has insurance, you treat them; if they don't, you show them the door.And if somebody dies, you get the autopsy. You get it by rounds tomorrow morning, or I'll be scratching your name off my chart! Are we clear!?Answer me!!!
And I believed him...	Look at me. You can do this.	Oh God, no.	We gotta relieve the pressure in his chest. J.D., do it.
...You know, kinda.	Chest-tube tray.	And I believed him...	Look at me. You can do this.
You can do this. You have to do this.	Come on, baby, let's go; chop-chop.	...You know, kinda.	Chest-tube tray.
Okay, gimme the tube.I can't get it through the pleura.	J.D., cut him or lose him.	You can do this. You have to do this.	Come on, baby, let's go; chop-chop.
Okay, connect it, please, Carla.	Well, don't be gentle, get it in there.	Okay, gimme the tube.I can't get it through the pleura.	J.D., cut him or lose him.
No way!	Normal rhythm.	Okay, connect it, please, Carla.	Well, don't be gentle, get it in there.
You're leaving?	Eh? It's a piece of cake.That's your patient.	No way!	Normal rhythm.
You see, I can't survive on my own.	I forgive her.	The worst part was knowing, right then, that I could never forgive her.	If you're talking about getting the Bursky autopsy, I already called the family for you. And they said fine, and to thank you, and I'm sorry. ...They didn't say that last part, I did.
Even now, when I finally get to go home, in the back of my head, I'll know the hospital's still here, wide awake.	I'm a dork. I'm a dork! I'm a dork. ...I'm a dork.	You see, I can't survive on my own.	I forgive her.
But what the hell. The most important thing is that I got through my first three days without looking like a complete idiot.	Bambi! Get out while you still can.	Even now, when I finally get to go home, in the back of my head, I'll know the hospital's still here, wide awake.	I'm a dork. I'm a dork! I'm a dork. ...I'm a dork.
Nooo....	Ohh... you want to hit that!	Just give her a chance, man.	Okay, dude, why is she here all the time?
No. She's just a friend, man.	Yeah!	Nooo....	Ohh... you want to hit that!
I think it's healthy hanging out with a girl without the ultimate goal being sex. You know?	Yeah.	No. She's just a friend, man.	Yeah!
I dunno.	Unfortunately, Radar, I'm fresh out of gold stars. Multilobar pneumonia at 31...? How much does this guy smoke?	Done. Copied. And Highlighted.	I need to see his chart
Oh. I know, I was just totally kidding with you.	What tests have you ordered?	Oh, I don't smoke, so... zero packs.	Well, let's hear it...
I like Will. That actually makes this harder.	He was... We're all in on it.	Oh. I know, I was just totally kidding with you.	What tests have you ordered?
Not like that.There it is.	Excellent.	When you say the word "cancer", every person reacts the same way.	Cancer.
Means, "You're really coming along as a doctor."	I'm, um, I'm just happy you haven't messed up yet today.	Means, "Great idea!"	You do whatever you want.
Means, Don't ever touch him.	Don't. Ever. Touch me.	Means, "You're really coming along as a doctor."	I'm, um, I'm just happy you haven't messed up yet today.
Okay, good!	But thank you for apologizing.	Ahhh, the comfortable silences.	No, you shouldn't have.
No, see, nothing needs to be clear.	I I just want to make one thing clear.	Okay, good!	But thank you for apologizing.
So, right now, the one thing that I want you to think about......How would you like to sound like this?	I had to scare him, but I had the sense he'd heard it all before. Luckily, part of being a doctor is your ability to improvise.	Yeah, well, Will, you're on a slippery slope, man.	Are you sure? 'Cause, that's how it first hit me.
No, it's not.	Let me see.This is so cool!	So, right now, the one thing that I want you to think about......How would you like to sound like this?	I had to scare him, but I had the sense he'd heard it all before. Luckily, part of being a doctor is your ability to improvise.
It's not a toy.Would you like to play a game?	Bwiddy-bwiddy-bwiddy. Okay, doc.	No, it's not.	Let me see.This is so cool!
Look, man, you're a great patient. I like you enough to hope I never see you again. But, I promise you, if you keep smoking, you'll be back here. I bet my own life on that.	Sometimes, if all you have is old words, all you can do is put them together and hope they say something new.	It's not a toy.Would you like to play a game?	Bwiddy-bwiddy-bwiddy. Okay, doc.
Done forever. He swore to me. I just, I reached him! I reached him.	No "last one"? 'Cause the last ones are better than sex, trust me, I've had about a thousand of them.	Yuh-huh!	Forever?
Excuse me?	Do you know what you've just done? You just lost all lap-dog privileges.	I need to know how we're going to fix this thing with Will.	Time for a bold move.
I'm not your lap-dog.	No more walkies, no more treats, no more following me around the hospital.	Excuse me?	Do you know what you've just done? You just lost all lap-dog privileges.
That must be lonely.	No one.	Well, who really knows him? I mean, who does he hang out with here?	He's just Dr. Cox.He's always like that.
It's not.	Well, actually, you have a point. I guess watching the game by yourself with a scotch isn't, really, the only way to watch a game, huh. I don't know. I just, I've always thought of needing people as a sign of weakness.	Okay, if he comes at you, just try and roll out the door.	A very sterile-looking glass shelf with several "blank" pieces of modern art.
Of course I will.	Then, would you stay... and watch the game with me? Maybe have a slice of pizza?	It's not.	Well, actually, you have a point. I guess watching the game by yourself with a scotch isn't, really, the only way to watch a game, huh. I don't know. I just, I've always thought of needing people as a sign of weakness.
Yeah... he's new here.	This is a strange resort, man. I mean, this wheelchair service is great, but that suite I rented... there's another person in it. And for some reason, the bellhop gave me an enema.	...Acceptance that some things are gonna be what they're gonna be.	What baby?
You know it all, man.	So... anything you wanna say?	Yeah... he's new here.	This is a strange resort, man. I mean, this wheelchair service is great, but that suite I rented... there's another person in it. And for some reason, the bellhop gave me an enema.
Nope.	Say anything else to him?	Still, I hated Will a little.......'Cause, thanks to him, I started to look at all the people who were important to me in terms of what will probably kill them.Heart Disease...Liver disease...Somebody choking her...I dunno... Probably stress.	You know it all, man.
Yeah, but you told me not	But you wanted to.	Nope.	Say anything else to him?
Oh, baby, I don't play by the rules.	You better. And don't do the whole two-day waiting thing.	Oh, yeah, me too. So... can I page you?	Well, I had a great time tonight.
Wait a second, is she joking? 'Cause if she's joking and I kiss her...Of course, if she's not joking...	Well, uh, goodnight....	Oh, baby, I don't play by the rules.	You better. And don't do the whole two-day waiting thing.
Yes!	Come on, I don't do this for all the doctors.	Wait a second, is she joking? 'Cause if she's joking and I kiss her...Of course, if she's not joking...	Well, uh, goodnight....
That's what... we used to tear it up...We should probably never do that again.	And that would come before Part B...	We should go out and celebrate, you know, tear it up like we used to do; just the two of us.	Yeah, it was cool; it was cool.Dude, I got to close for the first time, ever. Ever! The human body is so disgusting!Oh, not yours. Yours is stunning!
Whatever, I don't care.	Dude, you won't even know she's here. Well, except, she laughs at stupid stuff sometimes, and that kinda makes me laugh It's stup because it's so stupiOh, come on, tonight's still about us.	Maybe next time, her mom could come.	I'm so lucky I found you.
Yeah, I do.Sure	You really feel that way?	Well, we always look out for each other.... I guess I just don't feel like you have my back anymore.	What's goin' on with you, man?
I've never seen that before.	'Kay, uh... Excuse me, sorry; has anyone seen my keys? No? Okay, how about my wallet? Anyone?	Noo. No. I know the guy that closed, he'd never be that careless.	I've seen this before. Gauze, sponges some young surgeon left something in this man.
Suddenly, I was so fed up, I decided to teach Turk and Todd a lesson right there on the court.......You know, once I warmed up a little.	Don't bring in the same weak-ass crap the last kid did!	And there it was, everything was more important than me now.	Let's play, let's play.
Okay, I was looking at Bidwell...	J.D., I'ma show you what the deal's oh, oh, oh, ohh...All right, that's game. What's so important?	Suddenly, I was so fed up, I decided to teach Turk and Todd a lesson right there on the court.......You know, once I warmed up a little.	Don't bring in the same weak-ass crap the last kid did!
Okay.... Have you seen Turk?	Um... no, it hasn't come back yet.	Have you seen Mr. Bidwell's blood work?	"....Oh, baby refrain from breaking my heart. I'm so in love with "
Well, I'm sure you'll end up seeing him before I do, so....	Not since this morning.	Okay.... Have you seen Turk?	Um... no, it hasn't come back yet.
What if I am?	Bambi? Are you giving me attitude?	Well, I'm sure you'll end up seeing him before I do, so....	Not since this morning.
Okay, I'm gonna leave now.	Sweetie, you have to be a minority sidekick in a bad movie to pull that off. You know what I'm talking about, right?Explain it to this man, please.First, you do the head, then you do the finger, then you talk through the nose......And then you give a lot of attitude. That's how it works. But if you're not from there, you don't understand, so I'm not gonna even 'axe' you	What if I am?	Bambi? Are you giving me attitude?
No, no, I'm not even sure there is a problem. I'm running tests, I'm doing everything that I should be doing.	...Maimed, mutilated, disfigured.... Let's not split hairs.	No, no; no one killed anyone.	Someone else did!
Why am I protecting Turk when he can't even give me five seconds of his time?	Look, if you know about something, by not reporting it you're every bit as culpable. Now, is there anything that you'd like to tell me?	No, no, I'm not even sure there is a problem. I'm running tests, I'm doing everything that I should be doing.	...Maimed, mutilated, disfigured.... Let's not split hairs.
Tell him.	Anything at all?	Why am I protecting Turk when he can't even give me five seconds of his time?	Look, if you know about something, by not reporting it you're every bit as culpable. Now, is there anything that you'd like to tell me?
What happened?	Hi!	Negative? How could they be negative? The guy looks like death.	Oh, and the blood-work came back.
Oh, that's funny, because the only person who coulda given him insulin...	There's no infection. He's diabetic; so when someone gave him insulin during post-op, when he wasn't eating, he became hypoglycemic.	What happened?	Hi!
Me!I gave him insulin!	Uh-oh.	Oh, that's funny, because the only person who coulda given him insulin...	There's no infection. He's diabetic; so when someone gave him insulin during post-op, when he wasn't eating, he became hypoglycemic.
Twice!	Me!I gave him insulin!	Uh-oh.	Oh, that's funny, because the only person who coulda given him insulin...
Thank you so much. You totally saved my ass.	Well, he's fine, Bambi. I gave him an amp? of D-50 and he's eating, now. But you should probably give him a glass of orange juice in about an hour.	Twice!	Me!I gave him insulin!
Look, Turk....	Well, it wasn't me....	Thank you so much. You totally saved my ass.	Well, he's fine, Bambi. I gave him an amp? of D-50 and he's eating, now. But you should probably give him a glass of orange juice in about an hour.
I know.	Come on, man; you know I always got your back.	Look, Turk....	Well, it wasn't me....
I miss you so much it hurts, sometimes.	Just tell him how you feel without sounding like a girl, for once.	I know.	Come on, man; you know I always got your back.
Thank you.	Okay, um, you've had a rough day, so I'm gonna let that go for now.	I miss you so much it hurts, sometimes.	Just tell him how you feel without sounding like a girl, for once.
Oh, crap!	Look, we're gonna find time to hang, man. It's just that we're both really swamped right now, and I'm hanging out with Carla a lot, I know... But tell me, if there was someone you were into, you wouldn't be doing the same thing.	Thank you.	Okay, um, you've had a rough day, so I'm gonna let that go for now.
Well, we can wait like, three, four seconds.	What? Right now?	You're right. Kiss me.	You don't even want to hear about the day I've had.
Not gross, pretty. Come here.	No, I just ate, I feel gross.	Well, we can wait like, three, four seconds.	What? Right now?
It never fails.	J.D., can we just... talk for a second?	Not gross, pretty. Come here.	No, I just ate, I feel gross.
I use it all the time.Come on.	The first few weeks here have been so hard for me, mentally, physically, emotionally. It's like math camp all over again. Not that I've ever been to math camp it's just an expression.	Thank you.	Pretzel?
...Besides, I challenge anyone to survive as an intern without a close group of friends to lean on.	Turk and J.D.'s Apartment.	I know the idea of choosing friendship over sex is the last thing any guy wants to hear. But you know what? This time, it actually made sense to me.	I use it all the time.Come on.
You're a bad person.	Yeah, I know.... I miss it so much, it hurts sometimes.	I cant believe you lost our bottle opener.	...Besides, I challenge anyone to survive as an intern without a close group of friends to lean on.
Come on, Carla's your girlfriend, Elliot's my friend....	No.... We really don't.	We've got to do something about this.	Of course you meant something by it.
That'd be nice.	Honesty.... Well, I like that. You probably want these people to wait outside.	It's kinda too soon to tell.	Now that's enough! Now, sure, he's young, but he's probably a very good doctor. Are you a good doctor?
Uhh... would you guys mind....	Make 'em know you're a man, not a boy.	That'd be nice.	Honesty.... Well, I like that. You probably want these people to wait outside.
Right... that's what I'm talkin' about.	Well, that was manly!	Everybody outta here, now!"Now!"	Do it.
Yes, please!	Want a hard candy?	Right... that's what I'm talkin' about.	Well, that was manly!
You're using that "somebody called" joke a lot.	Dude, the League of Women Voters called and they want to know where to send your membership info.	I feel like you're missing out. Like, this Mrs. Tanner, she's got this...incredible energy and...and warmth.	Surgeons generally don't like to get too close to patients. Maybe it makes it harder to cut someone open... maybe it's just too risky... I dunno.
What's his name?	I know, I can't help it. I got a hernia patient to take care of.	You're using that "somebody called" joke a lot.	Dude, the League of Women Voters called and they want to know where to send your membership info.
He must feel so safe and taken care of.	Well, his name is Hernia Patient, but we've gotten close so I like to call him "Hernia".	What's his name?	I know, I can't help it. I got a hernia patient to take care of.
Yeah... I ordered them.	We'll put her on diuretics.	Why?	Nobody likes a brown-nose, son. Let me see the chart.
What's that?	These labs don't look good; I think it's time she got started on dialysis.Oh, but you know what you should do first, kiddo?	Yeah... I ordered them.	We'll put her on diuretics.
Couldn't you have got her a big cake?	Look, it's Samantha's fifth birthday. Now you're not gonna make me miss this, are you?	Oh, my God, are those s'mores?	I don't care about food right now!
How 'bout this?	Umm... Nope.	How about the ability to make quick decisions?	Nope.
Thank you. Come on, let's go.	You're very cute.	Okay, enough of this. I don't think any of you realize how serious this is. Right now we need to be worried about your mother, your grandmother... your....I'm sorry, we we haven't met, I'm Dr. Dorian.	No!
Okay, here we go.Blow!	Candles are still lit.	Thank you. Come on, let's go.	You're very cute.
Certain things you never expect to come out of a person's mouth.	Well, actually, I do have a choice.	Yeah, unfortunately we don't really have a choice.	Oh, I'm not a big fan of dialysis.
Pretty sneaky, Death!	Here , diagonally.	Where, I don't see?	I win.
Speaking of which, I took the liberty of jotting down a few things I think everybody should do at least once in their life.	It didn't come up. Look, they don't need that burden; besides, they'd just give me a bunch of reasons to change my mind.	You didn't tell them, did you.	She's telling her family. There's nothing that could make me go in there right now.
Okay. "Number One: Eat a sausage-and-pepper hoagie from Enrico's."	Oh, no.	Speaking of which, I took the liberty of jotting down a few things I think everybody should do at least once in their life.	It didn't come up. Look, they don't need that burden; besides, they'd just give me a bunch of reasons to change my mind.
"Number Two: Go to Asia."	Well, of course I've done that.	Okay. "Number One: Eat a sausage-and-pepper hoagie from Enrico's."	Oh, no.
I'm gonna take that as a yes, and I'll also check off "Learn a foreign language".	Gonenn kan kurai Kyoto ni sunnde imashita.	"Number Two: Go to Asia."	Well, of course I've done that.
You have had an amazing life.	Listen, Dr. Dorian, there's not one thing I regret as I lay here right now. I'm ready. I really am.	No, I'm not; it's right here, you can look at it!	Oh, now you're making stuff up.
Me? No, no, I've I've been off for two hours.	Good, then we agree. Now, aren't there other patients you need to be seeing?	You have had an amazing life.	Listen, Dr. Dorian, there's not one thing I regret as I lay here right now. I'm ready. I really am.
I will.	So, with your precious free time, you've been sitting in a hospital room talking to an old lady. What about your list? How many of those things have you done? For that matter, how many times have you sat in the grass and done nothing, hm?You need to start taking some time for yourself, young man. Promise me you'll do that.	Me? No, no, I've I've been off for two hours.	Good, then we agree. Now, aren't there other patients you need to be seeing?
Yeah, well, let me I just want to check out a few things before I...get going.Uh-huh.... Uhh-huh....	Good. Now, get outta here. Go on.	I will.	So, with your precious free time, you've been sitting in a hospital room talking to an old lady. What about your list? How many of those things have you done? For that matter, how many times have you sat in the grass and done nothing, hm?You need to start taking some time for yourself, young man. Promise me you'll do that.
I'm scared.	Are you okay?	Yeah, well, let me I just want to check out a few things before I...get going.Uh-huh.... Uhh-huh....	Good. Now, get outta here. Go on.
...Anything at all....	The Hallway	...Anything....	Hey, I'm Turk.
....Even if it's just taking the time to lie in the grass and think about all the things you still have left to do.	The Park	...Anything at all....	The Hallway
Well, he's dead.	Why would you think that's unnecessary?	I, uh.... Sir, I was going over Mr. Martinez's chart, and it seems like the TIPS procedure he's scheduled for is completely unnecessary.	Dr. Steadman. Resident, and first-class teacher's pet.
Dorian. You see me every day. Say my name; say it!	Well, excellent catch Dr..... uh... Dr.... uhm....	Well, he's dead.	Why would you think that's unnecessary?
That was the name of the patient, sir.	....Martinez.	Dorian. You see me every day. Say my name; say it!	Well, excellent catch Dr..... uh... Dr.... uhm....
No, actually, that's the that's the manufacturer of the clipboard...sir.	...Avery.	That was the name of the patient, sir.	....Martinez.
I hear that!	Fine work doctor! Fine work.	No, actually, that's the that's the manufacturer of the clipboard...sir.	...Avery.
Oh, , I went by Pediatrics..... They thought it was funny.	Ooh, that's hot.	Why not? It's easy, you just go like this.	I am not flashing my breasts!
"What up...dude?"	What did you just say?	Once every 4.2 seconds a man says something stupid that a woman hears and punishes him for....Luckily, this wasn't one of those times.	Ahhhhhh! My man, Turk, is getting it daily, nightly, and ever so rightly!Ah! What up, dude!
No, just 'cause you guys have been dating...for a while. Do Latina women put out more? Because that's not something I've I've ever heard.Turk told me.	Why would you think that Turk and I slept together? Because I'm a nurse? Because I'm Latina?	"What up...dude?"	What did you just say?
Don't say it!	Well, geez, newbie, just what in the hell do you want from me, huh?I don't know if they taught you this in the land of fairies and puppy-dog tails, where you obviously, if not grew up then at least spent most of your summers, but you're in the real world now. Nnnnn-kay?	You don't have to be, like, mean about it.	That TIPS procedure was for Mrs. Blitt down in 103. You see, she doesn't have insurance; Mr. Martinez, on the other hand, had great insurance. Should I talk slower or go get a nurse who speaks fluent moron?
Once every 6.3 seconds, a man says something stupid that another man hears and punishes him for...Luckily, this wasn't	I still think I was right.	Don't say it!	Well, geez, newbie, just what in the hell do you want from me, huh?I don't know if they taught you this in the land of fairies and puppy-dog tails, where you obviously, if not grew up then at least spent most of your summers, but you're in the real world now. Nnnnn-kay?
Oh, no.	That's it!	Once every 6.3 seconds, a man says something stupid that another man hears and punishes him for...Luckily, this wasn't	I still think I was right.
I accept!	Anyway, newbie, the reason I was all bent outta shape yesterday	Look at him, pretending like yesterday never happened. Well, if he thinks I'm gonna forgive him without so much as a	Really, when did he give it to you?
Is it really that bad?	Don't interrupt me. Come here;Pull that curtain. Mrs. Blitt over there needs the TIPS procedure, no insurance? Yeah, well, she can now look forward to a lifetime of encephalopathy and jaundice thanks to Bottom-Line Bob.	I accept!	Anyway, newbie, the reason I was all bent outta shape yesterday
Totally.	I...hate...Robert Kelso. I hate his family, I hate his friends, I hate the guy that cleans his vaguely racist little lawn jockey; in fact, I hate anybody who ever even associates with him. Is that clear?	Is it really that bad?	Don't interrupt me. Come here;Pull that curtain. Mrs. Blitt over there needs the TIPS procedure, no insurance? Yeah, well, she can now look forward to a lifetime of encephalopathy and jaundice thanks to Bottom-Line Bob.
You're right.	Almost one. You know what, Cox doesn't need your help taking her down for a TIPS procedure. As a matter of fact, he shouldn't even be putting you in that situation!	How many has she had?	I have magic breasts.
Hell no!	Hell, yeah, I'm right! Screw Cox! ....I mean, you're not afraid of him, are you?	You're right.	Almost one. You know what, Cox doesn't need your help taking her down for a TIPS procedure. As a matter of fact, he shouldn't even be putting you in that situation!
....Okay, maybe a little.	The Hospital Hallway	Hell no!	Hell, yeah, I'm right! Screw Cox! ....I mean, you're not afraid of him, are you?
That's three!	That's four.	....Okay, maybe a little.	The Hospital Hallway
Oh, come on. Yes, exposing yourself to a dead guy might have been a tad unorthodox; and yes, it might be a little hard to live down....	At what point did I become a crazy person?	You know that's not even a real disease?	Well, I'm afraid I have just an awful case of the 'gotta see 'ems.'
So is everyone else around here.Oh, that's not funny.	I'm waiting for the "but."	Oh, come on. Yes, exposing yourself to a dead guy might have been a tad unorthodox; and yes, it might be a little hard to live down....	At what point did I become a crazy person?
Come on. When I look at you, I look at a doctor who'll do whatever it takes to help a patient.	Thanks. Glad I shared.	So is everyone else around here.Oh, that's not funny.	I'm waiting for the "but."
Yeah, really.	Really?	Come on. When I look at you, I look at a doctor who'll do whatever it takes to help a patient.	Thanks. Glad I shared.
I just want you to know, if you still want my help, I'm on board.	The Admissions Area	And...on that note....	Yeah, really.
So it was all a test.	What, are you kidding? It's way too big of a risk for a peon. Okay I just wanted to see what team you were playing for.	I just want you to know, if you still want my help, I'm on board.	The Admissions Area
